"","X","LONG","LAT","Examined","Positive","Prevalence","ID","elevation","annual_mean_temperature","annual_diurnal_range","isothermality","temperature_seasonality","maximum_temperature_warmest_month","minimum_temperature_coldest_month","temperature_annual_range","mean_temperature_wettest_quarter","mean_temperature_driest_quarter","mean_temperature_warmest_quarter","mean_temperature_coldest_quarter","annual_precpitation","precipitation_wettest_month","precipitation_driest_month","precipitation_seasonality","precipitation_wettest_quarter","precipitation_dreist_quarter","precipitation_warmest_quarter","precipitation_coldest_quarter","LST_day_01","LST_night_01","slope","NDVI01_GT_utm","EVI01_GT_utm","LC01_GT_utm","FC_GT_utm","TCW01_GT_utm","SM0001_GT_utm","distwater_GT_utm","popden0001_GT_utm","housing2001_GT_utm","nightlights0001_GT_utm"
"31",51,667235.183447914,862488.097622303,350,129,0.368571429,31,136.968490600586,274,105,69,1223.59313964844,358,206,152,267,278,291.776885986328,259,1222.31530761719,198.123748779297,6,64.1237411499023,466.092224121094,34,240.876251220703,427.215972900391,30.1441974639893,20.4526290893555,0.0477613843977451,0.546403825283051,0.339570313692093,9,53.3865928649902,-0.172146633267403,41.0684585571289,1.53312754631042,39.3334884643555,0.0371849909424782,0
"32",52,641164.239465045,852449.695684081,102,41,0.401960784,32,330.983764648438,256.409271240234,100,68.9389495849609,1239.34313964844,337.847747802734,194.500473022461,143.347274780273,260.5615234375,261.786682128906,273.786682128906,240.847747802734,1283.63989257812,199.213302612305,7,62,486,47,271.4384765625,419.201446533203,28.9998035430908,19.5325298309326,0.401758819818497,0.549392521381378,0.361030787229538,9,8.60420989990234,-0.182425633072853,46.4754295349121,2.49094843864441,39.8524627685547,0.111508399248123,0
"33",53,632327.719010538,856847.017474987,217,87,0.400921659,33,323.050567626953,256.568359375,99.7297744750977,68.9345245361328,1252.83386230469,338.633850097656,195.326049804688,143.30778503418,261.363616943359,261.568359375,273.810668945312,240.838577270508,1286.75451660156,199.906600952148,7,62,488.497100830078,47.7297782897949,272.431640625,418.338256835938,29.6946697235107,19.9822883605957,0.765607118606567,0.53447550535202,0.339092701673508,9,32.5984649658203,-0.194493174552917,46.1713943481445,1.95223557949066,39.8503189086914,0.107192665338516,0
"34",56,654225.260799135,904465.349820186,251,95,0.378486056,34,177.098190307617,273.176177978516,108.922431945801,68.1761856079102,1356.79614257812,360.922424316406,203.176193237305,157.746246337891,260,278.922424316406,292.922424316406,256.176177978516,1227.49035644531,213,5,66,480.077575683594,29.0775699615479,226.687622070312,463,29.4324569702148,20.6125831604004,0.710288166999817,0.549461185932159,0.348093390464783,9,1.38960587978363,-0.18009452521801,51.6749992370605,2.34806370735168,16.0367641448975,0.0562562122941017,0
"35",59,632145.631051448,892482.755671169,93,40,0.430107527,35,184.778900146484,270.884490966797,106,68,1308.74279785156,357.884490966797,203.223373413086,154.661117553711,276.107849121094,276.107849121094,289.884490966797,254.884490966797,1258.9736328125,211,5.73497438430786,65,482.346527099609,36.7349739074707,244.892135620117,444,30.1164150238037,20.4442958831787,0.265005111694336,0.552614212036133,0.353705674409866,9,432.007934570312,-0.182124048471451,41.268383026123,0.245192632079124,39.7214508056641,0.0881863757967949,0
"36",60,706231.592264354,857114.085998362,185,11,0.059459459,36,115.56273651123,274.317718505859,106.967391967773,69,1227.22692871094,359.252502441406,206.013000488281,153.239501953125,268.285095214844,279.967407226562,292.285095214844,259.330718994141,1215.68884277344,199.986999511719,6,65,471.986999511719,34,225,445.656280517578,30.8077831268311,20.79909324646,0.452250003814697,0.509841859340668,0.325098931789398,10,401.232574462891,-0.17716158926487,67.2600402832031,1.23987460136414,31.3391399383545,0.0411382988095284,0
"38",28,565057.629371062,856705.300935993,489,109,0.222903885480573,38,260.974548339844,262.018676757812,96,66,1309.04748535156,345.729644775391,201.289031982422,144.440612792969,267.289031982422,267.289031982422,280.289031982422,245.729644775391,1176.8671875,175,6,61,457.270355224609,50.7109603881836,268.163269042969,359.559387207031,28.353364944458,19.3633460998535,0.424671649932861,0.482131391763687,0.321340352296829,9,1.74271643161774,-0.194773286581039,40.3777389526367,6.83365392684937,21.7029552459717,0.0527179911732674,0
"39",31,566577.451276874,892960.272603559,639,115,0.179968701095462,39,244.262878417969,265.666717529297,101,66,1372.34948730469,351.666717529297,199.666717529297,152,271.333374023438,270.666717529297,285.119720458984,248.333358764648,1162.51452636719,186,5.66664028167725,63.3333587646484,455.029052734375,42.456356048584,248.818771362305,385,30.0371856689453,21.0564308166504,1.05913877487183,0.496138095855713,0.323368519544601,9,8.77199172973633,-0.187919393181801,35.970832824707,3.01192259788513,21.702953338623,0.051764078438282,0
"40",47,567145.223439051,935204.724971258,104,52,0.5,40,168.251037597656,271.391296386719,106,66,1384.43139648438,358.326568603516,199.326568603516,159,257.391296386719,275.326568603516,291.859802246094,255.326568603516,1107.96630859375,193.608703613281,3,67,432.673431396484,30,207.217422485352,422.987518310547,31.9577789306641,20.893762588501,0.423485308885574,0.462290793657303,0.280928909778595,9,1.80917847156525,-0.158175989985466,28.1133632659912,2.05219006538391,21.702953338623,0.0402928479015827,0
"41",5,571563.058761538,926366.99175966,112,66,0.589285714285714,41,142.782241821289,273.345275878906,105,66,1366.55334472656,359.869384765625,202.345275878906,157.524108886719,270.597961425781,277.345275878906,293.410583496094,256.410583496094,1117.21301269531,192.065307617188,4,66,431.982696533203,32,213.065307617188,414.982696533203,30.8860454559326,21.9162940979004,0.370033353567123,0.468592971563339,0.285039216279984,9,28.7681560516357,-0.164416447281837,27.1538925170898,3.10156679153442,21.702953338623,0.0330664031207561,0
"42",6,579830.338793763,910741.938631501,383,156,0.407310704960835,42,172.867736816406,270.787780761719,103,66.0965805053711,1377.28967285156,356.691192626953,202.374008178711,154.317184448242,276.442169189453,274.787780761719,291.180847167969,254.133377075195,1150.50036621094,192.557815551758,4,65.0681610107422,447.14404296875,35,229.144058227539,407.557830810547,30.8523025512695,21.3120460510254,0.522556781768799,0.499813765287399,0.330393940210342,9,1.80724060535431,-0.196944639086723,34.6624984741211,5.78522634506226,21.702953338623,0.0680652856826782,0
"43",71,584792.650017049,917545.811603996,37,4,0.108108108108108,43,141.007553100586,273.940673828125,104.349975585938,67,1371.47863769531,359.88134765625,204.531387329102,155.349975585938,279.88134765625,277.88134765625,293.88134765625,257.445770263672,1137.54406738281,193.494903564453,4,66.4355926513672,440.639831542969,32,219.144943237305,413.904205322266,30.1907043457031,22.5140228271484,2.97541379928589,0.507279515266418,0.318336516618729,9,29.0749950408936,-0.168385207653046,30.9810047149658,1.58499991893768,9.22716522216797,0.0785433948040009,0
"44",81,588064.233903007,861895.38081098,414,129,0.311594202898551,44,168.384887695312,267.382965087891,96,67,1313.14233398438,349.475555419922,206.475555419922,143,273.475555419922,271.907409667969,285.475555419922,251.38298034668,1192.56994628906,181.359466552734,6,62,463.092590332031,46.0925827026367,261.442718505859,373.078369140625,30.2838020324707,19.9256381988525,0.482857167720795,0.545932531356812,0.371118545532227,9,754.043579101562,-0.201982349157333,38.5037994384766,0.296884328126907,37.876049041748,0.0597491711378098,0
"45",9,593631.082131232,904296.041367149,67,20,0.298507462686567,45,109.891189575195,275.100036621094,103,66.1611862182617,1357.04064941406,360.938842773438,207.100021362305,153.838806152344,280.78173828125,279.100036621094,295.100036621094,259.100036621094,1162.20031738281,193.899978637695,4,65.4794616699219,452.520538330078,33.5205383300781,229.041076660156,409.118225097656,31.5357131958008,21.4613037109375,0.431153506040573,0.481612324714661,0.298593938350677,9,2855.53295898438,-0.188318833708763,33.3958320617676,2.30531120300293,9.56659698486328,0.0468003042042255,0
"46",10,702844.499370184,874796.580346151,825,167,0.202424242424242,46,102.259796142578,277,108,69.0216598510742,1239.47131347656,362,207.021667480469,154.978332519531,268.884613037109,281.027099609375,294.027099609375,261.972900390625,1206,205,6,66,469,30,215.22200012207,459.555999755859,32.3293800354004,20.8300590515137,0.469011515378952,0.512229144573212,0.325957804918289,10,2994.60498046875,-0.190911188721657,80.6621475219727,0.349233835935593,27.8970794677734,0.0427048020064831,0
"47",11,717133.804966783,884817.518057966,311,258,0.829581993569132,47,92.0078201293945,277.865478515625,109,69,1283.42419433594,363.851623535156,206.865493774414,156.986145019531,264.865478515625,282.730987548828,295.865478515625,261.865478515625,1200.77978515625,210.134506225586,5,68,480.041168212891,27,202.376220703125,478.175689697266,31.8470363616943,20.8550662994385,0.29317033290863,0.51659232378006,0.31564661860466,10,2536.95263671875,-0.188574284315109,101.655395507812,0.610250473022461,27.8970775604248,0.0412064418196678,0
